scorer,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000,DLC_resnet50_LindoScope2Sep6shuffle1_700000
bodyparts,Fiber,Fiber,Fiber,Nose,Nose,Nose,Head,Head,Head,Spine,Spine,Spine,TB,TB,TB,LS,LS,LS,RS,RS,RS
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,220.1812744,110.2097778,0.962642491,226.9549408,33.05921173,0.999995232,224.1520996,50.37845993,0.99999392,216.405838,68.96901703,0.99999845,212.1799622,85.79904175,0.999999762,207.6540527,60.59326935,0.999996543,228.8026428,67.70394897,0.99999547
1,220.1942444,110.2170486,0.963091314,226.9577179,33.06225967,0.999995232,224.1556854,50.37845993,0.99999392,216.4088287,68.97035217,0.99999845,212.1841278,85.79904175,0.999999762,207.6540527,60.5961647,0.999996543,228.8057251,67.70394897,0.99999547
2,220.1942444,110.2170486,0.963091314,226.9577179,33.06225967,0.999995232,224.1556854,50.37845993,0.99999392,216.4088287,68.97035217,0.99999845,212.1841278,85.79904175,0.999999762,207.6540527,60.5961647,0.999996543,228.8057251,67.70394897,0.99999547
3,220.1942444,110.2170486,0.963091314,226.9577179,33.06225967,0.999995232,224.1556854,50.37845993,0.99999392,216.4088287,68.97035217,0.99999845,212.1841278,85.79904175,0.999999762,207.6540527,60.5961647,0.999996543,228.8057251,67.70394897,0.99999547
4,220.1936188,110.2179565,0.963051021,226.9550934,33.05519867,0.999995232,224.1499329,50.37692642,0.99999392,216.4082031,68.9690094,0.99999845,212.1843872,85.79904175,0.999999762,207.6524353,60.59470749,0.999996543,228.8068237,67.70182037,0.99999547
5,220.193512,110.2180023,0.963056266,226.9550934,33.05519485,0.999995232,224.1499329,50.37682724,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447098,0.999996543,228.8069458,67.70182037,0.99999547
6,220.193512,110.2180023,0.963058352,226.9550934,33.05519485,0.999995232,224.1499329,50.37682724,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447098,0.999996543,228.8069458,67.70182037,0.99999547
7,220.193512,110.2180023,0.963058352,226.9550934,33.05519485,0.999995232,224.1499329,50.37682724,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447098,0.999996543,228.8069458,67.70182037,0.99999547
8,220.193512,110.2180023,0.96305865,226.9550781,33.05519485,0.999995232,224.1499176,50.37683105,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447479,0.999996543,228.8069305,67.70182037,0.99999547
9,220.193512,110.2180023,0.96305865,226.9550781,33.05519485,0.999995232,224.1499176,50.37683105,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447479,0.999996543,228.8069305,67.70182037,0.99999547
10,220.193512,110.2180023,0.96305865,226.9550781,33.05519485,0.999995232,224.1499176,50.37683105,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447479,0.999996543,228.8069305,67.70182037,0.99999547
11,220.193512,110.2180023,0.96305865,226.9550781,33.05519485,0.999995232,224.1499176,50.37683105,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447479,0.999996543,228.8069305,67.70182037,0.99999547
12,220.193512,110.2180023,0.96305865,226.9550781,33.05519485,0.999995232,224.1499176,50.37683105,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447479,0.999996543,228.8069305,67.70182037,0.99999547
13,220.193512,110.2180023,0.96305865,226.9550781,33.05519485,0.999995232,224.1499176,50.37683105,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447479,0.999996543,228.8069305,67.70182037,0.99999547
14,220.193512,110.2180023,0.96305865,226.9550781,33.05519485,0.999995232,224.1499176,50.37683105,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447479,0.999996543,228.8069305,67.70182037,0.99999547
15,220.193512,110.2180023,0.96305865,226.9550781,33.05519485,0.999995232,224.1499176,50.37683105,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447479,0.999996543,228.8069305,67.70182037,0.99999547
16,220.193512,110.2180023,0.96305865,226.9550781,33.05519485,0.999995232,224.1499176,50.37683105,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447479,0.999996543,228.8069305,67.70182037,0.99999547
17,220.193512,110.2180023,0.96305865,226.9550781,33.05519485,0.999995232,224.1499176,50.37683105,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447479,0.999996543,228.8069305,67.70182037,0.99999547
18,220.193512,110.2180023,0.96305865,226.9550781,33.05519485,0.999995232,224.1499176,50.37683105,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447479,0.999996543,228.8069305,67.70182037,0.99999547
19,220.193512,110.2180023,0.96305865,226.9550781,33.05519485,0.999995232,224.1499176,50.37683105,0.99999392,216.4081726,68.96897125,0.99999845,212.1845093,85.79881287,0.999999762,207.6523895,60.59447479,0.999996543,228.8069305,67.70182037,0.99999547
20,220.193512,110.2180023,0.930086792,225.9835052,30.59829712,0.999998569,223.2211151,50.37683105,0.999995947,216.4081726,68.02442932,0.99999845,213.0586395,84.57621765,0.999999762,207.6523895,59.94160461,0.999995589,228.8069305,66.35408783,0.999996901
21,220.193512,107.0241241,0.998354852,206.8208771,28.76859856,0.999497294,215.6222992,45.3850708,0.999993086,216.8493195,61.05276108,0.999992013,214.1932526,72.77017975,0.999988675,207.8471832,55.71172714,0.999985456,228.998764,56.05860138,0.999990821
22,219.3614807,98.32414246,0.998120725,205.4528351,28.74648666,0.999380112,215.4233551,45.3850708,0.999992847,216.8493195,61.05276108,0.999996066,214.1932526,72.11428833,0.999998212,207.8471832,55.71172714,0.999991059,229.0753937,56.05860138,0.999992013
23,200.5496216,98.32414246,0.844232142,205.4528351,28.38332558,0.999958873,214.2182465,45.3850708,0.999995232,216.8493195,61.05276108,0.999985218,214.1932526,71.73422241,0.999997139,207.1665955,55.71172714,0.999989152,229.0753937,56.05860138,0.999971747
